University,output,flag,username,timestamp
Ohio State University,/Users/patrickbrophy/code/beyond_the_book/flagged/output/tmpxe8udxrt.json,,,2023-09-23 15:58:47.557703
Ohio State University,/Users/patrickbrophy/code/beyond_the_book/flagged/output/tmpcc52sc6c.json,,,2023-09-23 15:58:49.517401
Ohio State University,/Users/patrickbrophy/code/beyond_the_book/flagged/output/tmpcs5q09ej.json,,,2023-09-23 15:58:52.239406
Ohio State University,/Users/patrickbrophy/code/beyond_the_book/flagged/output/tmp_8f_kgpy.json,,,2023-09-23 15:58:54.735836
Ohio State University,/Users/patrickbrophy/code/beyond_the_book/flagged/output/tmpnu51uzng.json,,,2023-09-23 15:58:59.075727
Indiana University-Bloomington,,,,2023-09-23 16:17:55.980730
